09:34:40.927564 config: drop-rate=0.00, max-delay=0s, seed=1586093680925577200
13:36:40.736992 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:63278, sz=206 is delivered
13:38:07.651568 [queue=0] packet #1, 127.0.0.1:58220 -> 127.0.0.1:8007, sz=28 is delivered
13:38:07.764024 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:58220, sz=47 is delivered
13:39:36.268470 [queue=0] packet #1, 127.0.0.1:49654 -> 127.0.0.1:8007, sz=28 is delivered
13:39:36.357840 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:49654, sz=47 is delivered
13:42:04.359466 [queue=0] packet #1, 127.0.0.1:55023 -> 127.0.0.1:8007, sz=28 is delivered
13:43:23.614344 [queue=0] packet #1, 127.0.0.1:60279 -> 127.0.0.1:8007, sz=28 is delivered
13:44:09.808489 [queue=0] packet #1, 127.0.0.1:50768 -> 127.0.0.1:8007, sz=28 is delivered
13:44:09.881292 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:50768, sz=47 is delivered
13:45:03.471773 [queue=0] packet #1, 127.0.0.1:63261 -> 127.0.0.1:8007, sz=28 is delivered
13:45:03.536602 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:63261, sz=0 is delivered
13:46:56.263330 [queue=0] packet #1, 127.0.0.1:52478 -> 127.0.0.1:8007, sz=28 is delivered
13:46:56.296239 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:52478, sz=0 is delivered
13:48:13.858367 [queue=0] packet #1, 127.0.0.1:51966 -> 127.0.0.1:8007, sz=28 is delivered
13:48:13.896274 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:51966, sz=196 is delivered
14:16:54.214853 [queue=0] packet #1, 127.0.0.1:55670 -> 127.0.0.1:8007, sz=12 is delivered
14:16:54.274693 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55670, sz=0 is delivered
14:18:59.433476 [queue=0] packet #1, 127.0.0.1:59955 -> 127.0.0.1:8007, sz=12 is delivered
14:20:38.069076 [queue=0] packet #1, 127.0.0.1:58104 -> 127.0.0.1:8007, sz=12 is delivered
14:20:38.144873 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:58104, sz=0 is delivered
14:25:08.773650 [queue=0] packet #1, 127.0.0.1:62673 -> 127.0.0.1:8007, sz=28 is delivered
14:25:09.017508 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:62673, sz=196 is delivered
14:31:27.170341 [queue=0] packet #1, 127.0.0.1:53036 -> 127.0.0.1:8007, sz=29 is delivered
14:31:27.221204 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:53036, sz=0 is delivered
14:32:11.369371 [queue=0] packet #1, 127.0.0.1:56823 -> 127.0.0.1:8007, sz=29 is delivered
14:32:11.404321 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:56823, sz=0 is delivered
14:39:14.229385 [queue=0] packet #1, 127.0.0.1:58955 -> 127.0.0.1:8007, sz=29 is delivered
14:39:14.308689 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:58955, sz=0 is delivered
14:41:35.306004 [queue=0] packet #1, 127.0.0.1:62676 -> 127.0.0.1:8007, sz=38 is delivered
14:41:35.345898 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:62676, sz=0 is delivered
14:54:30.106710 [queue=0] packet #1, 127.0.0.1:56258 -> 127.0.0.1:8007, sz=38 is delivered
14:54:30.212940 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:56258, sz=0 is delivered
14:55:28.412256 [queue=0] packet #1, 127.0.0.1:55875 -> 127.0.0.1:8007, sz=38 is delivered
14:55:28.513984 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:55875, sz=0 is delivered
14:55:43.639073 [queue=0] packet #1, 127.0.0.1:60032 -> 127.0.0.1:8007, sz=28 is delivered
14:55:43.726839 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60032, sz=196 is delivered
14:55:54.160467 [queue=0] packet #1, 127.0.0.1:60038 -> 127.0.0.1:8007, sz=38 is delivered
14:55:54.207352 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:60038, sz=0 is delivered
15:01:09.828888 [queue=0] packet #1, 127.0.0.1:59576 -> 127.0.0.1:8007, sz=38 is delivered
15:01:09.948566 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59576, sz=0 is delivered
15:02:42.643000 [queue=0] packet #1, 127.0.0.1:56507 -> 127.0.0.1:8007, sz=38 is delivered
15:03:20.416768 [queue=0] packet #1, 127.0.0.1:54129 -> 127.0.0.1:8007, sz=38 is delivered
15:03:20.951877 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:54129, sz=0 is delivered
15:05:04.563430 [queue=0] packet #1, 127.0.0.1:58412 -> 127.0.0.1:8007, sz=38 is delivered
